,directorID,movieID
495,4081,1879
496,3026,1700
497,4065,288
498,8500,11697
499,1273262,238628
500,939147,396535
501,56512,14784
502,15389,1093
503,18392,1654
504,69300,11356
505,10146,678
506,69797,10191
507,66193,10191
508,525,49026
509,10828,1417
510,232959,284427
511,1108174,375572
512,11435,910
513,87429,19026
514,15488,374473
515,80260,16306
516,11435,877
517,3026,11031
518,69081,49797
519,10790,37719
520,143593,26280
521,37932,277216
522,280,68
523,2746,220
524,9730,648
525,1033661,313297
526,834,1939
527,74907,18079
528,7256,527
529,2589,205
530,69371,11421
531,1152,792
532,5602,793
533,20718,4481
534,6593,11016
535,14674,11113
536,16513,1366
537,44554,15097
538,1152,820
539,5655,83666
540,4762,334
541,3026,2493
542,138,273248
543,488,333339
544,2636,21734
545,57113,242582
546,122423,375262
547,578,286217
548,24,165
549,3317,5910
550,15218,283995
551,2765,17057
552,5342,37247
553,1704,22
554,3239,244
555,3238,244
556,14999,10331
557,4415,12548
558,3064,8094
559,10965,672
560,87257,283587
561,7314,531
562,147001,49992
563,69797,82702
564,19272,100402
565,19271,100402
566,957,207703
567,11983,4024
568,32427,3529
569,10001,3001
570,7087,9806
571,1051305,111083
572,5655,10315
573,1932296,489999
574,2765,221
575,3831,11657
576,12453,11220
577,1090,562
578,5306,1587
579,63571,14756
580,68519,11190
581,70500,306819
582,510,162
583,472630,414425
584,793,4593
585,5026,12516
586,11401,11782
587,608,12429
588,43993,5528
589,15389,1786
590,6448,11040
591,81850,17431
592,67426,10907
593,4109,10907
594,37302,31417
595,52038,22683
596,1849195,499631
597,8636,6844
598,30715,3133
599,30715,16642
600,3776,8073
601,7482,2013
602,564,9081
603,4065,4909
604,1844,269258
605,11435,900
606,4762,4995
607,525,272
608,56342,11299
609,309,99
610,1126,1600
611,1150,27327
612,7087,2062
